X1,Y1,X2,Y2,X,Y,Diff,Distance,TriggerStatusActual,TriggerStatusObserved
142,238,133,232,-9,-6,117,10.81665383,FALSE,FALSE
146,239,137,223,-9,-16,337,18.35755975,FALSE,FALSE
146,241,138,222,-8,-19,425,20.61552813,FALSE,FALSE
148,236,135,228,-13,-8,233,15.26433752,FALSE,FALSE
147,236,135,230,-12,-6,180,13.41640786,FALSE,FALSE
150,241,138,224,-12,-17,433,20.80865205,FALSE,FALSE
149,238,139,226,-10,-12,244,15.62049935,FALSE,FALSE
163,248,136,182,-27,-66,5085,71.30918594,FALSE,FALSE
163,245,141,181,-22,-64,4580,67.67569726,FALSE,FALSE
163,248,144,189,-19,-59,3842,61.98386887,FALSE,FALSE
163,248,145,193,-18,-55,3349,57.87054518,FALSE,FALSE
163,248,144,194,-19,-54,3277,57.24508713,FALSE,FALSE
164,249,144,194,-20,-55,3425,58.52349955,FALSE,FALSE
166,250,142,194,-24,-56,3712,60.92618485,FALSE,FALSE
166,249,142,193,-24,-56,3712,60.92618485,FALSE,FALSE
165,248,143,194,-22,-54,3400,58.30951895,FALSE,FALSE
165,248,143,195,-22,-53,3293,57.38466694,FALSE,FALSE
165,248,143,195,-22,-53,3293,57.38466694,FALSE,FALSE
166,247,143,194,-23,-53,3338,57.7754273,FALSE,FALSE
167,249,144,195,-23,-54,3445,58.69412236,FALSE,FALSE
166,248,144,195,-22,-53,3293,57.38466694,FALSE,FALSE
166,251,143,195,-23,-56,3665,60.53924347,FALSE,FALSE
166,251,143,195,-23,-56,3665,60.53924347,FALSE,FALSE
166,251,143,195,-23,-56,3665,60.53924347,FALSE,FALSE
165,249,144,196,-21,-53,3250,57.00877125,FALSE,FALSE
165,249,143,196,-22,-53,3293,57.38466694,FALSE,FALSE
166,248,143,194,-23,-54,3445,58.69412236,FALSE,FALSE
165,247,144,196,-21,-51,3042,55.15432893,FALSE,FALSE
166,248,143,194,-23,-54,3445,58.69412236,FALSE,FALSE
166,249,143,194,-23,-55,3554,59.61543424,FALSE,FALSE
166,249,143,193,-23,-56,3665,60.53924347,FALSE,FALSE
168,248,144,194,-24,-54,3492,59.09314681,FALSE,FALSE
167,250,143,193,-24,-57,3825,61.84658438,FALSE,FALSE
167,250,144,187,-23,-63,4498,67.06713055,FALSE,FALSE
168,249,144,190,-24,-59,4057,63.69458376,FALSE,FALSE
168,249,144,190,-24,-59,4057,63.69458376,FALSE,FALSE
168,250,143,188,-25,-62,4469,66.85057965,FALSE,FALSE
167,250,145,188,-22,-62,4328,65.78753681,FALSE,FALSE
167,251,143,186,-24,-65,4801,69.28924881,FALSE,FALSE
167,251,143,186,-24,-65,4801,69.28924881,FALSE,FALSE
143,235,136,210,-7,-25,674,25.96150997,FALSE,FALSE
145,238,135,217,-10,-21,541,23.2594067,FALSE,FALSE
